subject_ids,classifications,workflow_id,workflow_version,file-name,advance,flag
13288901,5,427,6.20,,advance,1
13288902,5,427,6.20,,advance,1
13288903,5,427,6.20,,advance,1
13288904,5,427,6.20,,advance,1
13288905,5,427,6.20,,advance,1
13288906,5,427,6.20,,advance,1
13288907,5,427,6.20,,advance,1
13288908,5,427,6.20,,advance,1
13288909,5,427,6.20,,advance,1
13288910,5,427,6.20,,advance,1
13288911,5,427,6.20,,advance,1
13288912,5,427,6.20,,advance,1
13288913,5,427,6.20,,advance,1
13288914,5,427,6.20,,advance,1
13288915,5,427,6.20,,advance,1
13288916,5,427,6.20,,advance,1
13288917,5,427,6.20,,advance,1
13288918,5,427,6.20,,advance,1
13288919,5,427,6.20,,advance,1
13288920,5,427,6.20,,advance,1
13288921,5,427,6.20,,advance,1
13288922,5,427,6.20,,advance,1
13288923,5,427,6.20,,advance,1
13288924,5,427,6.20,,advance,1
13288925,5,427,6.20,,retire,0
13288926,5,427,6.20,,advance,1
13288927,5,427,6.20,,advance,1
13288928,5,427,6.20,,advance,1
13288929,5,427,6.20,,advance,1
13288930,5,427,6.20,,retire,0
13288931,5,427,6.20,,advance,1
13288932,5,427,6.20,,advance,1
13288933,5,427,6.20,,advance,1
13288934,5,427,6.20,,advance,1
13288935,5,427,6.20,,advance,1
13288936,5,427,6.20,,advance,1
13288937,5,427,6.20,,advance,1
13288938,5,427,6.20,,advance,1
13288939,5,427,6.20,,advance,1
13288940,5,427,6.20,,advance,1
13288941,5,427,6.20,,advance,1
13288942,5,427,6.20,,advance,1
13288943,5,427,6.20,,advance,1
13288944,5,427,6.20,,advance,1
13288945,5,427,6.20,,advance,1
13288946,5,427,6.20,,advance,1
13288947,5,427,6.20,,advance,1
13288948,5,427,6.20,,retire,0
13288949,5,427,6.20,,retire,0
13288950,5,427,6.20,,advance,1
13288951,5,427,6.20,,advance,1
13288952,5,427,6.20,,advance,1
13288953,5,427,6.20,,advance,1
13288954,5,427,6.20,,advance,1
13288955,5,427,6.20,,advance,1
13288956,5,427,6.20,,advance,1
13288957,5,427,6.20,,advance,1
13288958,5,427,6.20,,advance,1
13288959,5,427,6.20,,advance,1
13288960,5,427,6.20,,advance,1
13288961,5,427,6.20,,advance,1
13288962,5,427,6.20,,advance,1
13288963,5,427,6.20,,advance,1
13288964,5,427,6.20,,advance,1
13288965,5,427,6.20,,advance,1
13288966,5,427,6.20,,advance,1
13288967,5,427,6.20,,advance,1
13288968,5,427,6.20,,retire,0
13288969,5,427,6.20,,advance,1
13288970,5,427,6.20,,advance,1
13288971,5,427,6.20,,advance,1
13288972,5,427,6.20,,advance,1
13288973,5,427,6.20,,advance,1
13288974,5,427,6.20,,advance,1
13288975,5,427,6.20,,advance,1
