subject_ids,Filename,total_class,species_class,choice,aggregated_vector
13118615,buffalo-1.jpg,13,3,BUFFALO,"[[23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 8, 0, 23, 0], [0, 23], [0, 0], [0, 0]]"
13118615,buffalo-1.jpg,13,10,NOTHINGHERE,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0], [0, 0], [0, 0]]"
13118616,caracal-3.jpg,14,13,CARACAL,"[[93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 93, 0, 0, 0], [0, 93], [0, 0], [0, 0]]"
13118616,caracal-3.jpg,14,1,HARE,"[[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 7, 0, 0], [0, 7], [0, 0], [0, 0]]"
13118616,caracal-3.jpg,14,1,HUMAN,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 7], [0, 0], [0, 0]]"
13118617,civet-3.jpg,13,13,CIVET,"[[92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 92, 0, 0, 8], [8, 77], [0, 0], [0, 0]]"
13118618,genet-2.jpg,13,2,CIVET,"[[15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 15, 0, 0], [0, 8], [0, 0], [0, 0]]"
13118618,genet-2.jpg,13,11,GENET,"[[85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 38, 46, 0, 0], [0, 85], [0, 0], [0, 0]]"
13118618,genet-2.jpg,13,1,HIPPOPOTAMUS,"[[0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 8, 0, 0], [0, 8], [0, 0], [0, 0]]"
13118619,aardvark-2.jpg,14,14,AARDVARK,"[[93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0], [7, 0, 93, 0, 7], [0, 86], [0, 0], [0, 0]]"
