line_number,subject_ids,workflow_id,workflow_version,classification_id,created_at,line_one,line_two,rectangle_one,triangle_one,ellipse_one,column_one
38,1910619,4759,67.88,67598542,2017-08-20 01:54:12 UTC,[],[],[],[],[],[]
39,1910610,4759,67.88,67598725,2017-08-20 01:55:43 UTC,[],[],[],[],[],[]
40,1910617,4759,67.88,67598848,2017-08-20 01:57:00 UTC,[],[],[],[],[],[]
41,1910618,4759,67.88,67598943,2017-08-20 01:57:55 UTC,[],[],[],[],[],[]
42,1910620,4759,67.88,67599025,2017-08-20 01:58:47 UTC,[],[],[],[],[],[]
43,1910612,4759,67.88,67599052,2017-08-20 01:59:03 UTC,[],[],[],[],[],[]
44,1910616,4759,67.88,67599080,2017-08-20 01:59:20 UTC,[],[],[],[],[],[]
45,1910609,4759,67.88,67599235,2017-08-20 02:00:33 UTC,[],[],[],[],[],[]
46,1910608,4759,67.88,67599381,2017-08-20 02:01:49 UTC,[],[],[],[],[],[]
47,1910614,4759,86.102,68157096,2017-08-24 21:19:33 UTC,"[[54.0, 33.0, 297.0, 198.0, 'L1', []]]","[[190.0, 160.0, 66.0, 280.0, 'L2', []]]","[[368.0, 74.0, 341.0, 138.0, 'R', []]]","[[92.0, 198.0, 332.0, -31.37, 'T', []]]","[[584.0, 320.0, 159.0, 44.0, 7.43, 'E', []]]","[[326.0, 122.0, 'Col', []]]"
48,1910611,4759,86.102,68157903,2017-08-24 21:25:00 UTC,"[[226.0, 120.0, 550.0, 341.0, 'L1', []]]","[[299.0, 305.0, 125.0, 431.0, 'L2', []]]","[[234.0, 123.0, 423.0, 105.0, 'R', []]]","[[54.0, 249.0, 278.0, -117.47, 'T', []]]","[[552.0, 338.0, 149.0, 75.0, -48.12, 'E', []]]","[[232.0, 155.0, 'Col', []]]"
49,1910615,4759,86.102,68158930,2017-08-24 21:32:25 UTC,"[[710.0, 255.0, 563.0, 68.0, 'L1', []]]",[],[],"[[201.0, 563.0, 81.0, -62.22, 'T', []]]","[[265.0, 188.0, 216.0, 108.0, -1.01, 'E', []], [546.0, 353.0, 113.0, 57.0, 71.26, 'E', []], [215.0, 351.0, 104.0, 52.0, -73.91, 'E', []]]",[]
50,1910606,4759,86.102,68159785,2017-08-24 21:38:22 UTC,"[[439.0, 35.0, 571.0, 246.0, 'L1', []]]","[[494.0, 426.0, 349.0, 307.0, 'L2', []]]","[[207.0, 133.0, 274.0, 88.0, 'R', []]]","[[90.0, 574.0, 252.0, 0, 'T', []], [156.0, 343.0, 303.0, -60.6, 'T', []]]",[],[]
51,1910607,4759,86.102,68160609,2017-08-24 21:43:22 UTC,"[[741.0, 51.0, 684.0, 131.0, 'L1', []]]",[],[],"[[111.0, 77.0, 185.0, -91.97, 'T', []], [104.0, 330.0, 194.0, -48.72, 'T', []], [99.0, 523.0, 148.0, 0, 'T', []], [60.0, 481.0, 288.0, 47.6, 'T', []], [80.0, 609.0, 290.0, 91.36, 'T', []], [69.0, 544.0, 408.0, 93.18, 'T', []]]",[],[]
52,1910613,4759,86.102,68161137,2017-08-24 21:47:00 UTC,"[[695.0, 167.0, 613.0, 313.0, 'L1', []]]",[],[],[],"[[234.0, 141.0, 207.0, 36.0, 0.0, 'E', []], [412.0, 253.0, 52.0, 240.0, 8.71, 'E', []]]",[]
53,1910620,4759,86.102,68161454,2017-08-24 21:49:38 UTC,"[[674.0, 274.0, 548.0, 424.0, 'L1', []]]",[],[],[],"[[234.0, 142.0, 78.0, 147.0, 12.68, 'E', []], [511.0, 150.0, 153.0, 77.0, -69.53, 'E', []]]",[]
54,1910618,4759,86.102,68161704,2017-08-24 21:51:51 UTC,"[[680.0, 158.0, 574.0, 274.0, 'L1', []]]",[],[],[],"[[286.0, 139.0, 182.0, 91.0, -36.03, 'E', []]]",[]
55,1910612,4759,86.102,68161896,2017-08-24 21:53:31 UTC,"[[649.0, 133.0, 536.0, 278.0, 'L1', []]]",[],[],[],"[[205.0, 164.0, 310.0, 73.0, -90, 'E', []]]",[]
56,1910620,4759,86.102,68162159,2017-08-24 21:55:27 UTC,"[[745.0, 106.0, 657.0, 252.0, 'L1', []]]",[],"[[247.0, 167.0, 222.0, 96.0, 'R', []]]","[[129.0, 358.0, 328.0, -59.62, 'T', []]]",[],[]
57,1910613,4759,86.102,68163292,2017-08-24 22:05:09 UTC,"[[464.0, 106.0, 276.0, 267.0, 'L1', []]]",[],[],"[[246.0, 280.0, 263.0, -49.74, 'T', []]]",[],[]
58,1910614,4759,86.102,68167688,2017-08-24 22:44:53 UTC,"[[682.0, 133.0, 626.0, 209.0, 'L1', []]]",[],"[[335.0, 89.0, 168.0, 67.0, 'R', []]]","[[67.0, 467.0, 284.0, -36.87, 'T', []]]","[[123.0, 185.0, 129.0, 65.0, -27.32, 'E', []]]","[[559.0, 46.0, 'Col', []]]"
