line_number,subject_ids,user_name,workflow_id,workflow_version,classification_id,created_at,image_quality,ground_coverage,surface_material
2345,701816,QI4ba2e422,371,160.317,2478671,2015-09-08 06:38:36 UTC,"[0, 0, 0, 1, 0]",,
2346,702883,QI97f976fe,371,160.317,2478672,2015-09-08 06:38:42 UTC,"[0, 1, 0, 0, 0]",,
2351,704377,QI97f976fe,371,160.317,2478677,2015-09-08 06:39:04 UTC,"[0, 1, 0, 0, 0]",,
2353,909331,QI038ea649,371,160.317,2478679,2015-09-08 06:39:19 UTC,"[0, 1, 0, 0, 0]",,
2354,908243,QI97f976fe,371,160.317,2478680,2015-09-08 06:39:27 UTC,"[0, 0, 0, 1, 0]",,
2356,698689,QIfd5ad9ac,371,160.317,2478683,2015-09-08 06:40:36 UTC,"[1, 0, 0, 0, 0]",60-100%,
2358,906729,QI2a425e53,371,160.317,2478685,2015-09-08 06:40:42 UTC,"[0, 1, 0, 0, 0]",,
2359,702840,QI8ea03b69,371,160.317,2478686,2015-09-08 06:40:48 UTC,"[1, 0, 0, 0, 0]",,
2360,909081,QI97f976fe,371,160.317,2478688,2015-09-08 06:40:58 UTC,"[1, 0, 0, 0, 0]",0-20%,Mud
2361,703089,QIda5555b6,371,160.317,2478689,2015-09-08 06:41:22 UTC,"[1, 0, 0, 0, 0]",0-20%,Sand
2363,700902,QI5a57456f,371,160.317,2478691,2015-09-08 06:41:30 UTC,"[1, 0, 0, 0, 0]",20-60%,
2364,906901,QI2a425e53,371,160.317,2478693,2015-09-08 06:41:45 UTC,"[1, 0, 0, 0, 0]",60-100%,
2366,910799,QI5a57456f,371,160.317,2478696,2015-09-08 06:42:11 UTC,"[0, 0, 0, 0, 0]",,
2367,908971,QI5a57456f,371,160.317,2478697,2015-09-08 06:42:41 UTC,"[0, 0, 0, 0, 0]",,
2369,701539,QI5a57456f,371,160.317,2478699,2015-09-08 06:42:55 UTC,"[0, 0, 0, 0, 0]",,
2370,909192,QI5a57456f,371,160.317,2478700,2015-09-08 06:43:07 UTC,"[0, 0, 0, 0, 0]",,
2371,908586,QIfb163a39,371,160.317,2478702,2015-09-08 06:43:30 UTC,"[0, 0, 0, 0, 1]",,
2372,704458,QIc20d1f7e,371,160.317,2478703,2015-09-08 06:43:34 UTC,"[1, 0, 0, 0, 0]",20-60%,
2373,906457,QI5a57456f,371,160.317,2478704,2015-09-08 06:43:40 UTC,"[0, 0, 0, 0, 0]",,
2374,697543,QIafc7d281,371,160.317,2478706,2015-09-08 06:43:42 UTC,"[0, 0, 0, 0, 0]",,
2375,907989,QI9ab0069c,371,160.317,2478707,2015-09-08 06:43:45 UTC,"[0, 0, 0, 0, 0]",,
2377,907294,Chris868,371,160.317,2478709,2015-09-08 06:43:50 UTC,"[1, 0, 0, 0, 0]",0-20%,Rock
